Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Mon Mar 07 18:54:43 UTC 2022,-101,-16,-69,-122,-20,-97,548283502,7.18680901113941
Mon Mar 07 18:54:46 UTC 2022,-101,-15,-69,-117,-19,-98,551944614,9.85129209377362
Mon Mar 07 18:54:49 UTC 2022,-101,-15,-69,-116,-19,-97,556297802,11.7260370902165
Mon Mar 07 18:54:52 UTC 2022,-102,-15,-70,0,0,0,560059280,10.1871961216681
Mon Mar 07 18:54:55 UTC 2022,-102,-16,-68,-118,-20,-97,563796790,10.0837875788684
Mon Mar 07 18:54:58 UTC 2022,-101,-15,-69,-115,-17,-97,567248182,9.35753243127897
Mon Mar 07 18:55:01 UTC 2022,-101,-15,-69,-106,-13,-92,571743680,12.1256995102851
Mon Mar 07 18:55:04 UTC 2022,-101,-15,-70,-118,-20,-97,577033118,14.3520572410489
Mon Mar 07 18:55:07 UTC 2022,-102,-15,-69,-119,-20,-97,580459044,9.18819395687442
Mon Mar 07 18:55:10 UTC 2022,-102,-16,-70,-121,-20,-98,584210036,10.18317335355
Mon Mar 07 18:55:13 UTC 2022,-102,-16,-69,-140,-20,-120,587412760,8.70985147568175
Mon Mar 07 18:55:16 UTC 2022,-102,-16,-69,0,0,0,591127800,10.0766476186496
Mon Mar 07 18:55:19 UTC 2022,-103,-16,-70,0,0,0,593662416,6.61243237576046
Mon Mar 07 18:55:22 UTC 2022,-103,-16,-69,0,0,0,595972332,6.29442802191351
Mon Mar 07 18:55:25 UTC 2022,-103,-16,-71,0,0,0,598548892,7.00259674952536
Mon Mar 07 18:55:28 UTC 2022,-103,-16,-69,0,0,0,601225818,7.09997657838129
Mon Mar 07 18:55:31 UTC 2022,-103,-16,-70,0,0,0,603778410,6.82654109771053
Mon Mar 07 18:55:34 UTC 2022,-103,-15,-71,0,0,0,606106302,6.28223274315858
Mon Mar 07 18:55:37 UTC 2022,-103,-16,-70,0,0,0,609505264,9.16888188749723
Mon Mar 07 18:55:40 UTC 2022,-102,-16,-69,0,0,0,611394242,5.05116653472148
Mon Mar 07 18:55:43 UTC 2022,-102,-15,-71,0,0,0,613948332,6.96564175298736
Mon Mar 07 18:55:45 UTC 2022,-103,-16,-71,0,0,0,616400558,6.67267895504906
Mon Mar 07 18:55:48 UTC 2022,-103,-16,-70,0,0,0,618726952,6.31395350629791
Mon Mar 07 18:55:51 UTC 2022,-102,-15,-70,0,0,0,621406874,7.11049853621494
Mon Mar 07 18:55:54 UTC 2022,-102,-16,-69,-117,-19,-98,624354938,7.96893409033603
Mon Mar 07 18:55:57 UTC 2022,-102,-16,-68,-117,-20,-97,627857262,9.58718986661178
Mon Mar 07 18:56:00 UTC 2022,-102,-17,-68,-115,-18,-97,631404526,9.63965238053255
Mon Mar 07 18:56:03 UTC 2022,-103,-16,-69,-107,-14,-93,635663340,11.4920945049461
Mon Mar 07 18:56:06 UTC 2022,-102,-15,-71,-118,-20,-98,639390364,9.79039208597394
Mon Mar 07 18:56:09 UTC 2022,-102,-15,-70,-119,-20,-97,643132368,10.2528693958003
Mon Mar 07 18:56:12 UTC 2022,-102,-15,-70,0,0,0,646742548,9.61383126681114
Mon Mar 07 18:56:15 UTC 2022,-102,-15,-70,-106,-14,-92,650415644,9.9485709532527
Mon Mar 07 18:56:18 UTC 2022,-102,-15,-71,0,0,0,653905984,9.39341265205865
Mon Mar 07 18:56:21 UTC 2022,-103,-15,-70,0,0,0,656211406,6.22185303325769
Mon Mar 07 18:56:24 UTC 2022,-103,-15,-70,0,0,0,658531808,6.30110030886992
Mon Mar 07 18:56:27 UTC 2022,-102,-16,-70,0,0,0,661054440,6.80612617133307
Mon Mar 07 18:56:30 UTC 2022,-102,-16,-69,0,0,0,663051274,5.23879265310992
Mon Mar 07 18:56:33 UTC 2022,-103,-15,-69,0,0,0,665445078,6.47813526056914
Mon Mar 07 18:56:36 UTC 2022,-102,-15,-71,0,0,0,667456892,5.47499213101218
Mon Mar 07 18:56:39 UTC 2022,-103,-16,-68,0,0,0,669672434,5.90036213591756
Mon Mar 07 18:56:42 UTC 2022,-102,-15,-69,0,0,0,671387644,4.59174211758312
Mon Mar 07 18:56:45 UTC 2022,-102,-15,-70,0,0,0,673663106,6.09330092530804
Mon Mar 07 18:56:48 UTC 2022,-103,-15,-70,0,0,0,675904114,6.13736539893949
Mon Mar 07 18:56:51 UTC 2022,-102,-15,-69,0,0,0,678353344,6.50663005496814
Mon Mar 07 18:56:54 UTC 2022,-102,-15,-70,0,0,0,680315724,5.33268804179284
Mon Mar 07 18:56:57 UTC 2022,-102,-16,-70,0,0,0,683244314,7.94947126606469
Mon Mar 07 18:57:00 UTC 2022,-103,-16,-70,-112,-15,-96,687181058,10.7076007172625
Mon Mar 07 18:57:03 UTC 2022,-102,-16,-70,-115,-18,-97,690365806,8.49114750608278
Mon Mar 07 18:57:06 UTC 2022,-101,-16,-67,-115,-17,-97,693333344,8.12757277478035
Mon Mar 07 18:57:09 UTC 2022,-102,-17,-67,-105,-13,-92,697124782,10.2934008931917
Mon Mar 07 18:57:11 UTC 2022,-102,-16,-68,-115,-17,-97,700699010,9.66366088080449
Mon Mar 07 18:57:15 UTC 2022,-103,-16,-69,-105,-13,-92,704418544,10.1612821170021
Mon Mar 07 18:57:18 UTC 2022,-102,-15,-70,-107,-14,-92,708211480,9.77835951992397
Mon Mar 07 18:57:23 UTC 2022,-102,-15,-69,-106,-13,-92,714901548,9.89396968001376
Mon Mar 07 18:57:26 UTC 2022,-102,-16,-69,-115,-17,-97,719196314,11.6762450907099
Mon Mar 07 18:57:29 UTC 2022,-102,-16,-69,-105,-14,-91,723524036,11.5704822620948
Mon Mar 07 18:57:32 UTC 2022,-103,-15,-70,-113,-16,-97,727859248,11.6343714394812
Mon Mar 07 18:57:35 UTC 2022,-102,-15,-69,-115,-17,-97,732118062,11.3549350902619
Mon Mar 07 18:57:38 UTC 2022,-103,-16,-68,-105,-13,-91,736595584,12.1321807714817
Mon Mar 07 18:57:41 UTC 2022,-101,-15,-68,-110,-13,-96,740746542,11.1727719167406
Mon Mar 07 18:57:44 UTC 2022,-102,-15,-69,-103,-12,-90,744633852,10.5707312893897
Mon Mar 07 18:57:47 UTC 2022,-102,-15,-69,-115,-17,-97,748819264,11.2487994969913
Mon Mar 07 18:57:50 UTC 2022,-102,-15,-71,-115,-17,-98,752910302,11.0080710563175
Mon Mar 07 18:57:53 UTC 2022,-101,-15,-70,-113,-17,-96,757164622,11.543457864059
Mon Mar 07 18:57:56 UTC 2022,-102,-15,-71,-113,-16,-97,761345540,11.1165080550302
Mon Mar 07 18:57:59 UTC 2022,-102,-15,-69,-111,-14,-97,765333216,10.8591600349256
Mon Mar 07 18:58:02 UTC 2022,-102,-16,-67,-111,-14,-97,768979348,9.65531877377332
Mon Mar 07 18:58:05 UTC 2022,-102,-15,-70,-114,-17,-97,773404440,12.0559987797806
Mon Mar 07 18:58:08 UTC 2022,-102,-15,-70,-113,-16,-97,777795078,11.9501208650856
Mon Mar 07 18:58:11 UTC 2022,-103,-15,-70,-113,-16,-97,781671902,10.4306807977357
Mon Mar 07 18:58:14 UTC 2022,-102,-15,-69,-112,-14,-97,785503786,10.2924515841341
Mon Mar 07 18:58:17 UTC 2022,-103,-15,-71,-113,-16,-97,789629278,11.1960970387025
Mon Mar 07 18:58:20 UTC 2022,-102,-15,-68,-113,-16,-97,793088160,9.38995551036509
Mon Mar 07 18:58:23 UTC 2022,-102,-16,-71,-113,-15,-97,796822674,10.1313033216554
Mon Mar 07 18:58:26 UTC 2022,-102,-16,-68,-113,-16,-97,800674032,10.4736418918577
Mon Mar 07 18:58:29 UTC 2022,-102,-15,-70,-116,-18,-98,805329816,12.1509786865577
Mon Mar 07 18:58:32 UTC 2022,-103,-16,-69,-113,-16,-97,808622420,8.93977124075427
Mon Mar 07 18:58:35 UTC 2022,-103,-16,-70,-115,-18,-97,811938992,9.03843633325301
Mon Mar 07 18:58:38 UTC 2022,-102,-16,-70,-113,-15,-97,815874238,10.6496908451001
Mon Mar 07 18:58:41 UTC 2022,-103,-15,-71,-105,-13,-91,819917340,10.7683838434505
Mon Mar 07 18:58:44 UTC 2022,-102,-15,-69,-113,-15,-97,823478086,9.56784868510203
Mon Mar 07 18:58:47 UTC 2022,-102,-15,-70,-112,-15,-97,826493560,8.13468388657052
Mon Mar 07 18:58:50 UTC 2022,-102,-15,-69,-112,-15,-97,829237896,7.49617860604318
Mon Mar 07 18:58:53 UTC 2022,-101,-15,-70,-113,-16,-97,831523844,5.99879062705876
Mon Mar 07 18:58:55 UTC 2022,-101,-15,-68,-113,-16,-97,835346740,10.3434682342947
Mon Mar 07 18:58:58 UTC 2022,-103,-15,-71,-109,-14,-95,838787646,9.35588186931699
Mon Mar 07 18:59:02 UTC 2022,-104,-16,-71,-115,-17,-97,841978386,8.32706024639688
Mon Mar 07 18:59:05 UTC 2022,-102,-15,-70,-106,-14,-91,845605044,9.81285405392458
Mon Mar 07 18:59:08 UTC 2022,-103,-15,-70,-102,-12,-90,849579238,10.1029121845321
Mon Mar 07 18:59:11 UTC 2022,-101,-15,-69,-111,-14,-96,853113020,9.64699416526561
Mon Mar 07 18:59:14 UTC 2022,-100,-14,-68,-102,-12,-90,856287282,8.51515694637653
Mon Mar 07 18:59:17 UTC 2022,-100,-14,-68,-102,-12,-90,860213540,10.5460895035412
Mon Mar 07 18:59:20 UTC 2022,-101,-15,-68,-112,-14,-97,864617660,11.3732268517435
Mon Mar 07 18:59:23 UTC 2022,-102,-15,-70,-114,-16,-97,869381300,12.9104554087829
Mon Mar 07 18:59:25 UTC 2022,-104,-16,-72,-114,-16,-98,874760618,14.6670673205932
Mon Mar 07 18:59:28 UTC 2022,-102,-15,-70,-113,-15,-98,879056882,11.6851334765001
