Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:43:43 UTC 2022,-92,-8,-65,0,0,0,1286439126,47.47348393139971
Tue Jan 11 13:43:45 UTC 2022,-92,-8,-65,0,0,0,1302843724,41.678401495882014
Tue Jan 11 13:43:48 UTC 2022,-92,-7,-62,0,0,0,1319251318,44.51429720853255
Tue Jan 11 13:43:51 UTC 2022,-92,-7,-65,0,0,0,1336442366,46.94787530464384
Tue Jan 11 13:43:54 UTC 2022,-92,-7,-62,0,0,0,1352846964,44.55144538377533
Tue Jan 11 13:43:57 UTC 2022,-92,-7,-65,0,0,0,1369323466,44.59186046193761
Tue Jan 11 13:44:00 UTC 2022,-92,-7,-62,0,0,0,1385435954,43.85686338346513
Tue Jan 11 13:44:03 UTC 2022,-92,-8,-65,0,0,0,1401901970,43.326422523284606
Tue Jan 11 13:44:06 UTC 2022,-92,-7,-62,0,0,0,1418430902,44.91030432809593
Tue Jan 11 13:44:09 UTC 2022,-92,-7,-63,0,0,0,1434696186,44.00355058896629
Tue Jan 11 13:44:12 UTC 2022,-92,-7,-65,0,0,0,1450799686,43.4039210178788
Tue Jan 11 13:44:15 UTC 2022,-92,-7,-65,0,0,0,1467580282,45.83207437873858
Tue Jan 11 13:44:18 UTC 2022,-92,-8,-65,0,0,0,1483321266,42.342978152225754
Tue Jan 11 13:44:21 UTC 2022,-92,-7,-61,0,0,0,1499249500,42.89276384978525
Tue Jan 11 13:44:24 UTC 2022,-92,-7,-65,0,0,0,1514716350,40.482271890152305
Tue Jan 11 13:44:27 UTC 2022,-92,-8,-65,0,0,0,1531486460,45.54864206139414
Tue Jan 11 13:44:30 UTC 2022,-92,-7,-65,0,0,0,1547022218,39.73834333501403
Tue Jan 11 13:44:33 UTC 2022,-92,-7,-65,0,0,0,1562451618,41.955017424245035
Tue Jan 11 13:44:36 UTC 2022,-92,-7,-65,0,0,0,1578176124,42.11472626169853
Tue Jan 11 13:44:39 UTC 2022,-92,-7,-65,0,0,0,1592920938,40.10981599533641
Tue Jan 11 13:44:42 UTC 2022,-92,-7,-66,0,0,0,1607598342,39.990298253412035
Tue Jan 11 13:44:45 UTC 2022,-92,-7,-64,0,0,0,1623029240,41.863347102035725
Tue Jan 11 13:44:48 UTC 2022,-92,-7,-65,0,0,0,1638424186,41.77454120775739
Tue Jan 11 13:44:51 UTC 2022,-92,-7,-65,0,0,0,1654120230,40.10479611145519
Tue Jan 11 13:44:54 UTC 2022,-92,-7,-63,0,0,0,1670550294,44.14418012205336
Tue Jan 11 13:44:57 UTC 2022,-92,-7,-65,0,0,0,1686550432,41.582659927740565
Tue Jan 11 13:45:00 UTC 2022,-92,-7,-66,0,0,0,1702237488,42.53502202706371
Tue Jan 11 13:45:03 UTC 2022,-92,-7,-66,0,0,0,1719018084,45.6648340183496
Tue Jan 11 13:45:06 UTC 2022,-92,-7,-65,0,0,0,1735800178,45.736164354972395
Tue Jan 11 13:45:09 UTC 2022,-92,-7,-65,0,0,0,1752556806,43.26352899797872
Tue Jan 11 13:45:12 UTC 2022,-92,-8,-61,0,0,0,1769021324,44.607982846586864
Tue Jan 11 13:45:15 UTC 2022,-92,-9,-66,0,0,0,1785918764,45.95357104406562
Tue Jan 11 13:45:18 UTC 2022,-92,-7,-62,0,0,0,1801695700,42.382523833226195
Tue Jan 11 13:45:21 UTC 2022,-92,-7,-66,0,0,0,1816779062,41.107707059135684
Tue Jan 11 13:45:24 UTC 2022,-92,-8,-64,0,0,0,1832394214,42.34391545827977
Tue Jan 11 13:45:27 UTC 2022,-92,-8,-63,0,0,0,1848058800,41.96414916627251
Tue Jan 11 13:45:30 UTC 2022,-92,-8,-64,0,0,0,1863443260,41.45106972717074
Tue Jan 11 13:45:33 UTC 2022,-92,-9,-61,0,0,0,1879912272,44.82054824991236
Tue Jan 11 13:45:36 UTC 2022,-92,-7,-65,0,0,0,1896839672,45.08287682276299
Tue Jan 11 13:45:39 UTC 2022,-92,-8,-66,0,0,0,1912516242,42.089241710155655
Tue Jan 11 13:45:42 UTC 2022,-92,-8,-65,0,0,0,1929269874,45.10518072526411
Tue Jan 11 13:45:44 UTC 2022,-92,-8,-64,0,0,0,1944967416,42.333039601759836
Tue Jan 11 13:45:47 UTC 2022,-92,-7,-66,0,0,0,1961445416,45.127218094862876
Tue Jan 11 13:45:50 UTC 2022,-92,-8,-66,0,0,0,1977692724,43.967645382770236
Tue Jan 11 13:45:53 UTC 2022,-92,-7,-64,0,0,0,1993772256,43.59088393462567
Tue Jan 11 13:45:56 UTC 2022,-92,-8,-66,0,0,0,2009198660,41.09346943668588
Tue Jan 11 13:45:59 UTC 2022,-92,-8,-65,0,0,0,2024857254,42.27271605323176
Tue Jan 11 13:46:02 UTC 2022,-92,-7,-64,0,0,0,2041116546,43.9574796491908
Tue Jan 11 13:46:05 UTC 2022,-92,-7,-65,0,0,0,2058315084,46.60097145685624
Tue Jan 11 13:46:08 UTC 2022,-92,-8,-65,0,0,0,2073672580,40.70748668088778
Tue Jan 11 13:46:11 UTC 2022,-92,-7,-66,0,0,0,2089013598,41.661084148020905
Tue Jan 11 13:46:14 UTC 2022,-92,-7,-64,0,0,0,2104818996,42.949789900115555
Tue Jan 11 13:46:17 UTC 2022,-92,-7,-65,0,0,0,2121743400,45.46619092101164
Tue Jan 11 13:46:20 UTC 2022,-92,-7,-66,0,0,0,2139046798,45.56938141675913
Tue Jan 11 13:46:23 UTC 2022,-92,-8,-65,0,0,0,2155178760,43.80827624729666
Tue Jan 11 13:46:26 UTC 2022,-92,-7,-64,0,0,0,2171715182,44.85064064441003
Tue Jan 11 13:46:29 UTC 2022,-92,-7,-65,0,0,0,2189195344,47.572235754069304
Tue Jan 11 13:46:32 UTC 2022,-92,-7,-64,0,0,0,2205757232,44.993055316556024
Tue Jan 11 13:46:35 UTC 2022,-92,-8,-61,0,0,0,2222543820,45.173775842013974
Tue Jan 11 13:46:38 UTC 2022,-92,-7,-57,0,0,0,2237880344,41.646692138159146
Tue Jan 11 13:46:41 UTC 2022,-92,-8,-66,0,0,0,2250295768,33.08385325845916
Tue Jan 11 13:46:44 UTC 2022,-92,-7,-65,0,0,0,2265786586,41.76252364921424
Tue Jan 11 13:46:47 UTC 2022,-92,-7,-62,0,0,0,2279726974,34.54971033495953
Tue Jan 11 13:46:50 UTC 2022,-92,-8,-66,0,0,0,2294387900,39.15452754067985
Tue Jan 11 13:46:53 UTC 2022,-93,-7,-66,0,0,0,2309406848,40.84897505643176
Tue Jan 11 13:46:56 UTC 2022,-93,-7,-66,0,0,0,2324648998,41.42804953177172
Tue Jan 11 13:46:59 UTC 2022,-93,-7,-62,0,0,0,2340625168,43.1735773708143
Tue Jan 11 13:47:02 UTC 2022,-93,-7,-66,0,0,0,2356418582,43.14846088909846
Tue Jan 11 13:47:05 UTC 2022,-93,-8,-62,0,0,0,2372890590,44.82344632136047
Tue Jan 11 13:47:08 UTC 2022,-93,-8,-65,0,0,0,2388911700,42.0689640049024
Tue Jan 11 13:47:11 UTC 2022,-93,-8,-66,0,0,0,2405118562,44.01811626127027
Tue Jan 11 13:47:14 UTC 2022,-93,-8,-62,0,0,0,2420194434,40.50848316950876
Tue Jan 11 13:47:17 UTC 2022,-93,-7,-65,0,0,0,2434951232,40.20241366895438
Tue Jan 11 13:47:20 UTC 2022,-93,-7,-66,0,0,0,2450729666,41.848420880589664
Tue Jan 11 13:47:23 UTC 2022,-93,-7,-66,0,0,0,2467198678,44.617025538743235
Tue Jan 11 13:47:26 UTC 2022,-93,-7,-66,0,0,0,2483198816,42.69410326891208
Tue Jan 11 13:47:29 UTC 2022,-92,-9,-66,0,0,0,2498220760,40.90235844292097
Tue Jan 11 13:47:32 UTC 2022,-93,-8,-66,0,0,0,2514622362,43.65771100911811
Tue Jan 11 13:47:35 UTC 2022,-93,-8,-63,0,0,0,2531025462,42.609697973330576
Tue Jan 11 13:47:38 UTC 2022,-93,-8,-62,0,0,0,2547127464,43.599796600149155
Tue Jan 11 13:47:41 UTC 2022,-93,-8,-65,0,0,0,2564240616,45.594854891068664
Tue Jan 11 13:47:44 UTC 2022,-93,-7,-66,0,0,0,2581374740,46.595902068337125
Tue Jan 11 13:47:47 UTC 2022,-93,-8,-62,0,0,0,2597878206,43.83626492601467
Tue Jan 11 13:47:50 UTC 2022,-92,-9,-59,0,0,0,2612922620,39.8139145692934
Tue Jan 11 13:47:53 UTC 2022,-92,-9,-64,0,0,0,2628235176,41.56806726066429
