Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Thu Aug 11 13:49:44 UTC 2022,-97,-9,-64,0,0,0,1155346498,15.2392689952447,0
Thu Aug 11 13:49:47 UTC 2022,-96,-8,-68,0,0,0,1159203888,10.4914742907014,0
Thu Aug 11 13:49:50 UTC 2022,-97,-9,-65,0,0,0,1165819056,17.8765175804296,0
Thu Aug 11 13:49:53 UTC 2022,-91,-8,-62,0,0,0,1171032096,14.1006177019233,0
Thu Aug 11 13:49:56 UTC 2022,-89,-8,-62,0,0,0,1180802144,26.4683420428086,0
Thu Aug 11 13:49:59 UTC 2022,-94,-8,-64,0,0,0,1194257180,36.2569069273425,0
Thu Aug 11 13:50:02 UTC 2022,-89,-8,-61,0,0,0,1206615680,33.3532574865022,0
Thu Aug 11 13:50:05 UTC 2022,-89,-8,-55,0,0,0,1219860996,36.1386698728337,0
Thu Aug 11 13:50:08 UTC 2022,-89,-7,-63,0,0,0,1238165058,49.7054233669796,0
Thu Aug 11 13:50:11 UTC 2022,-83,-8,-54,0,0,0,1253294910,41.1452244969663,0
Thu Aug 11 13:50:14 UTC 2022,-85,-7,-57,0,0,0,1269393223,41.9437289529975,0
Thu Aug 11 13:50:17 UTC 2022,-83,-7,-53,0,0,0,1290811931,57.4380915716009,0
Thu Aug 11 13:50:20 UTC 2022,-80,-7,-54,0,0,0,1315967195,68.2860203169977,0
Thu Aug 11 13:50:23 UTC 2022,-84,-7,-53,0,0,0,1343185855,74.2952670143427,0
Thu Aug 11 13:50:25 UTC 2022,-80,-7,-47,0,0,0,1369112755,68.2594180584148,0
Thu Aug 11 13:50:28 UTC 2022,-72,-7,-43,0,0,0,1395039062,70.4240100362731,0
Thu Aug 11 13:50:31 UTC 2022,-76,-7,-46,0,0,0,1423024698,75.752964025781,0
Thu Aug 11 13:50:34 UTC 2022,-74,-7,-42,0,0,0,1447400599,65.0183229665374,0
Thu Aug 11 13:50:37 UTC 2022,-74,-7,-47,0,0,0,1472308161,67.6216125436111,0
Thu Aug 11 13:50:40 UTC 2022,-75,-8,-48,0,0,0,1498828753,71.3894615366529,0
Thu Aug 11 13:50:43 UTC 2022,-75,-8,-47,0,0,0,1523724067,67.5930539199408,0
Thu Aug 11 13:50:46 UTC 2022,-76,-8,-48,0,0,0,1549792315,70.8328879996978,0
Thu Aug 11 13:50:49 UTC 2022,-75,-8,-48,0,0,0,1577473857,75.3726514082745,0
Thu Aug 11 13:50:52 UTC 2022,-75,-8,-46,0,0,0,1603810235,68.4242626000014,0
Thu Aug 11 13:50:55 UTC 2022,-75,-8,-43,0,0,0,1629441107,69.4308463681212,0
Thu Aug 11 13:50:58 UTC 2022,-75,-8,-47,0,0,0,1657035613,75.1554924708363,0
Thu Aug 11 13:51:01 UTC 2022,-75,-8,-47,0,0,0,1684491306,73.9369224427757,0
Thu Aug 11 13:51:04 UTC 2022,-75,-8,-45,0,0,0,1709930615,68.3348461788303,0
Thu Aug 11 13:51:07 UTC 2022,-75,-9,-46,0,0,0,1734391589,65.8754090541627,0
Thu Aug 11 13:51:10 UTC 2022,-74,-10,-43,0,0,0,1759421671,67.5850076439169,0
Thu Aug 11 13:51:13 UTC 2022,-76,-8,-47,0,0,0,1783722227,66.3486065740631,0
Thu Aug 11 13:51:16 UTC 2022,-75,-8,-48,0,0,0,1807141959,63.3055273473329,0
Thu Aug 11 13:51:19 UTC 2022,-75,-8,-48,0,0,0,1832148073,67.7221374518838,0
Thu Aug 11 13:51:22 UTC 2022,-75,-9,-45,0,0,0,1856543003,66.0274043921748,0
Thu Aug 11 13:51:25 UTC 2022,-75,-7,-49,0,0,0,1880967893,64.1589256817561,0
Thu Aug 11 13:51:28 UTC 2022,-76,-7,-49,0,0,0,1905905099,66.8167523927825,0
Thu Aug 11 13:51:31 UTC 2022,-75,-8,-47,0,0,0,1932172529,71.6395158791674,0
Thu Aug 11 13:51:34 UTC 2022,-75,-7,-46,0,0,0,1958793487,72.4493352417706,0
Thu Aug 11 13:51:37 UTC 2022,-75,-8,-43,0,0,0,1986704223,72.9646711571545,0
Thu Aug 11 13:51:40 UTC 2022,-74,-8,-46,0,0,0,2011268427,62.2569532208094,0
Thu Aug 11 13:51:43 UTC 2022,-75,-8,-47,0,0,0,2038601744,74.0827165609245,0
Thu Aug 11 13:51:46 UTC 2022,-74,-7,-46,0,0,0,2065784128,73.4641226620449,0
Thu Aug 11 13:51:49 UTC 2022,-74,-8,-42,0,0,0,2091969168,71.0702785307823,0
Thu Aug 11 13:51:52 UTC 2022,-75,-7,-47,0,0,0,2118946650,73.4459938571937,0
Thu Aug 11 13:51:55 UTC 2022,-71,-7,-47,0,0,0,2143855394,66.7946212632612,0
Thu Aug 11 13:51:58 UTC 2022,-66,-7,-39,0,0,0,2170161772,70.6349737509433,0
Thu Aug 11 13:52:01 UTC 2022,-87,-7,-62,0,0,0,2189213336,51.8512940514131,0
Thu Aug 11 13:52:04 UTC 2022,-92,-9,-64,0,0,0,2198595310,25.0897211395723,0
Thu Aug 11 13:52:07 UTC 2022,-98,-10,-67,0,0,0,2205301856,18.192911709079,0
Thu Aug 11 13:52:10 UTC 2022,-102,-17,-62,0,0,0,2209198154,10.535875977114,0
Thu Aug 11 13:52:13 UTC 2022,-89,-11,-58,-95,-14,-80,2231184300,58.2237755959594,10
Thu Aug 11 13:52:16 UTC 2022,-86,-10,-55,-81,-10,-71,2260033399,77.130035966922,10
Thu Aug 11 13:52:18 UTC 2022,-82,-8,-52,-79,-10,-68,2293420399,90.8891824122198,10
Thu Aug 11 13:52:21 UTC 2022,-77,-7,-50,-81,-11,-70,2327911963,93.9552526412568,10
Thu Aug 11 13:52:24 UTC 2022,-79,-8,-48,-88,-11,-77,2361152466,89.6287715004077,10
Thu Aug 11 13:52:27 UTC 2022,-78,-8,-50,-83,-11,-72,2396104262,95.755855192519,10
Thu Aug 11 13:52:30 UTC 2022,-82,-10,-51,-79,-11,-68,2431356119,92.3742965932356,10
Thu Aug 11 13:52:34 UTC 2022,-81,-12,-47,-92,-20,-70,2468070601,99.3233641029283,10
Thu Aug 11 13:52:36 UTC 2022,-84,-15,-51,0,0,0,2493827213,65.3843287120523,0
Thu Aug 11 13:52:39 UTC 2022,-83,-14,-47,0,0,0,2525430519,84.5968129167385,0
Thu Aug 11 13:52:42 UTC 2022,-78,-14,-45,0,0,0,2556599955,84.1838366724667,0
Thu Aug 11 13:52:45 UTC 2022,-78,-13,-44,0,0,0,2587283135,83.3581243490438,0
Thu Aug 11 13:52:48 UTC 2022,-78,-13,-43,-80,-13,-66,2616137665,77.8050763309686,10
Thu Aug 11 13:52:51 UTC 2022,-88,-15,-52,0,0,0,2634336661,48.1906377509362,0
Thu Aug 11 13:52:54 UTC 2022,-80,-7,-51,-76,-10,-65,2661290175,73.4740530454444,10
Thu Aug 11 13:52:57 UTC 2022,-77,-8,-47,-76,-10,-66,2690188093,77.7259466343314,10
